Date,Gas_Price,Carbon_Price
2018-01-05,18.915000915527344,1000.0
2018-01-08,19.049999237060547,984.5800170898438
2018-01-09,19.434999465942383,1000.0
2018-01-10,19.325000762939453,1014.1400146484375
2018-01-11,19.31999969482422,1005.1400146484375
2018-01-12,19.80500030517578,1010.280029296875
2018-01-16,18.899999618530273,1034.699951171875
2018-01-17,18.440000534057617,1051.4100341796875
2018-01-18,18.350000381469727,1091.260009765625
2018-01-19,18.190000534057617,1125.9599609375
2018-01-22,18.545000076293945,1124.6800537109375
2018-01-23,18.200000762939453,1158.0999755859375
2018-01-24,17.790000915527344,1215.93994140625
2018-01-25,17.780000686645508,1187.6600341796875
2018-01-26,17.780000686645508,1168.3800048828125
2018-01-29,17.395000457763672,1156.81005859375
2018-01-30,17.40999984741211,1141.3900146484375
2018-01-31,17.8799991607666,1192.800048828125
2018-02-01,18.149999618530273,1191.52001953125
2018-02-02,18.15999984741211,1151.6700439453125
2018-02-05,17.59000015258789,1165.81005859375
2018-02-06,17.8799991607666,1131.1099853515625
2018-02-07,18.155000686645508,1155.530029296875
2018-02-08,17.739999771118164,1172.239990234375
2018-02-09,17.899999618530273,1186.3800048828125
2018-02-12,17.950000762939453,1218.510009765625
2018-02-13,18.30500030517578,1272.489990234375
2018-02-14,18.075000762939453,1233.9300537109375
2018-02-15,17.790000915527344,1226.219970703125
2018-02-16,18.165000915527344,1223.6500244140625
2018-02-20,19.770000457763672,1249.3599853515625
2018-02-21,19.780000686645508,1228.7900390625
2018-02-22,19.940000534057617,1249.3599853515625
2018-02-23,20.40999984741211,1260.9300537109375
2018-02-26,18.690000534057617,1237.7900390625
2018-02-27,19.19499969482422,1304.6300048828125
2018-02-28,17.350000381469727,1298.199951171875
2018-03-01,17.559999465942383,1284.06005859375
2018-03-02,17.80500030517578,1303.3399658203125
2018-03-05,17.514999389648438,1331.6199951171875
2018-03-06,17.700000762939453,1345.760009765625
2018-03-07,17.829999923706055,1367.6099853515625
2018-03-08,18.315000534057617,1429.31005859375
2018-03-09,18.940000534057617,1429.31005859375
2018-03-12,19.709999084472656,1424.1600341796875
2018-03-13,19.46500015258789,1465.300048828125
2018-03-14,18.614999771118164,1437.02001953125
2018-03-15,18.799999237060547,1438.300048828125
2018-03-16,18.655000686645508,1435.72998046875
2018-03-19,18.700000762939453,1421.5899658203125
2018-03-20,19.174999237060547,1484.5799560546875
2018-03-21,19.389999389648438,1625.9599609375
2018-03-22,19.010000228881836,1586.1199951171875
2018-03-23,18.44499969482422,1620.8199462890625
2018-03-26,17.989999771118164,1669.6700439453125
2018-03-27,18.4950008392334,1758.3499755859375
2018-03-28,18.3700008392334,1669.6700439453125
2018-03-29,18.225000381469727,1706.93994140625
2018-04-03,18.040000915527344,1709.510009765625
2018-04-04,18.184999465942383,1678.6600341796875
2018-04-05,18.1299991607666,1624.6800537109375
2018-04-06,18.18000030517578,1669.6700439453125
2018-04-09,18.645000457763672,1713.3699951171875
2018-04-10,18.84000015258789,1719.7900390625
2018-04-11,19.2549991607666,1726.219970703125
2018-04-12,19.21500015258789,1746.7900390625
2018-04-13,19.56999969482422,1791.77001953125
2018-04-16,19.350000381469727,1799.489990234375
2018-04-17,19.014999389648438,1766.0699462890625
2018-04-18,19.309999465942383,1785.3499755859375
2018-04-19,19.860000610351562,1730.0799560546875
2018-04-20,19.799999237060547,1677.3800048828125
2018-04-23,19.889999389648438,1656.81005859375
2018-04-24,19.674999237060547,1700.510009765625
2018-04-25,19.8799991607666,1704.3699951171875
2018-04-26,20.149999618530273,1733.9300537109375
2018-04-27,20.264999389648438,1742.9300537109375
2018-04-30,20.559999465942383,1746.7900390625
2018-05-02,19.864999771118164,1678.6600341796875
2018-05-03,19.950000762939453,1665.81005859375
2018-05-04,20.420000076293945,1673.52001953125
2018-05-07,20.420000076293945,1750.6400146484375
2018-05-08,20.600000381469727,1748.0699462890625
2018-05-09,20.844999313354492,1799.489990234375
2018-05-10,21.0049991607666,1877.8900146484375
2018-05-11,21.264999389648438,1880.4599609375
2018-05-14,21.625,1881.75
2018-05-15,21.540000915527344,1840.6199951171875
2018-05-16,21.670000076293945,1951.1600341796875
2018-05-17,22.299999237060547,1966.5799560546875
2018-05-18,22.05500030517578,1960.1500244140625
2018-05-21,22.375,2000.0
2018-05-22,22.905000686645508,2050.1298828125
2018-05-23,22.71500015258789,2057.840087890625
2018-05-24,22.69499969482422,2093.830078125
2018-05-25,21.80500030517578,2056.56005859375
2018-05-29,22.655000686645508,2095.1201171875
2018-05-30,22.985000610351562,2035.989990234375
2018-05-31,22.579999923706055,1916.449951171875
2018-06-01,21.774999618530273,1965.300048828125
